time,month.yr,location,cases,disease,lat,lon
1944,Dec-43,ALABAMA,397,measles,32.361538,-86.279118
1944.083333,Jan-44,ALABAMA,900,measles,32.361538,-86.279118
1944.166667,Feb-44,ALABAMA,1223,measles,32.361538,-86.279118
1944.25,Mar-44,ALABAMA,2381,measles,32.361538,-86.279118
1944.333333,Apr-44,ALABAMA,1426,measles,32.361538,-86.279118
1944.416667,May-44,ALABAMA,959,measles,32.361538,-86.279118
1944.5,Jun-44,ALABAMA,260,measles,32.361538,-86.279118
1944.583333,Jul-44,ALABAMA,45,measles,32.361538,-86.279118
1944.666667,Aug-44,ALABAMA,16,measles,32.361538,-86.279118
1944.75,Sep-44,ALABAMA,7,measles,32.361538,-86.279118
1944.833333,Oct-44,ALABAMA,10,measles,32.361538,-86.279118
1944.916667,Nov-44,ALABAMA,4,measles,32.361538,-86.279118
1945,Dec-44,ALABAMA,9,measles,32.361538,-86.279118
1945.083333,Jan-45,ALABAMA,53,measles,32.361538,-86.279118
1945.166667,Feb-45,ALABAMA,57,measles,32.361538,-86.279118
1945.25,Mar-45,ALABAMA,53,measles,32.361538,-86.279118
1945.333333,Apr-45,ALABAMA,76,measles,32.361538,-86.279118
1945.416667,May-45,ALABAMA,49,measles,32.361538,-86.279118
1945.5,Jun-45,ALABAMA,15,measles,32.361538,-86.279118
1945.583333,Jul-45,ALABAMA,6,measles,32.361538,-86.279118
1945.666667,Aug-45,ALABAMA,4,measles,32.361538,-86.279118
1945.75,Sep-45,ALABAMA,8,measles,32.361538,-86.279118
1945.833333,Oct-45,ALABAMA,6,measles,32.361538,-86.279118
1945.916667,Nov-45,ALABAMA,6,measles,32.361538,-86.279118
1946,Dec-45,ALABAMA,6,measles,32.361538,-86.279118
1946.083333,Jan-46,ALABAMA,46,measles,32.361538,-86.279118
1946.166667,Feb-46,ALABAMA,433,measles,32.361538,-86.279118
1946.25,Mar-46,ALABAMA,735,measles,32.361538,-86.279118
1946.333333,Apr-46,ALABAMA,896,measles,32.361538,-86.279118
1946.416667,May-46,ALABAMA,910,measles,32.361538,-86.279118
1946.5,Jun-46,ALABAMA,621,measles,32.361538,-86.279118
1946.583333,Jul-46,ALABAMA,174,measles,32.361538,-86.279118
1946.666667,Aug-46,ALABAMA,45,measles,32.361538,-86.279118
1946.75,Sep-46,ALABAMA,20,measles,32.361538,-86.279118
1946.833333,Oct-46,ALABAMA,15,measles,32.361538,-86.279118
1946.916667,Nov-46,ALABAMA,35,measles,32.361538,-86.279118
1947,Dec-46,ALABAMA,55,measles,32.361538,-86.279118
1947.083333,Jan-47,ALABAMA,54,measles,32.361538,-86.279118
1947.166667,Feb-47,ALABAMA,97,measles,32.361538,-86.279118
1947.25,Mar-47,ALABAMA,363,measles,32.361538,-86.279118
1947.333333,Apr-47,ALABAMA,1090,measles,32.361538,-86.279118
1947.416667,May-47,ALABAMA,1117,measles,32.361538,-86.279118
1947.5,Jun-47,ALABAMA,672,measles,32.361538,-86.279118
1947.583333,Jul-47,ALABAMA,165,measles,32.361538,-86.279118
1947.666667,Aug-47,ALABAMA,30,measles,32.361538,-86.279118
1947.75,Sep-47,ALABAMA,35,measles,32.361538,-86.279118
1947.833333,Oct-47,ALABAMA,10,measles,32.361538,-86.279118
1947.916667,Nov-47,ALABAMA,14,measles,32.361538,-86.279118
1948,Dec-47,ALABAMA,46,measles,32.361538,-86.279118
1948.083333,Jan-48,ALABAMA,39,measles,32.361538,-86.279118
1948.166667,Feb-48,ALABAMA,344,measles,32.361538,-86.279118
1948.25,Mar-48,ALABAMA,249,measles,32.361538,-86.279118
1948.333333,Apr-48,ALABAMA,282,measles,32.361538,-86.279118
1948.416667,May-48,ALABAMA,161,measles,32.361538,-86.279118
1948.5,Jun-48,ALABAMA,106,measles,32.361538,-86.279118
1948.583333,Jul-48,ALABAMA,16,measles,32.361538,-86.279118
1948.666667,Aug-48,ALABAMA,14,measles,32.361538,-86.279118
1948.75,Sep-48,ALABAMA,24,measles,32.361538,-86.279118
1948.833333,Oct-48,ALABAMA,64,measles,32.361538,-86.279118
1948.916667,Nov-48,ALABAMA,151,measles,32.361538,-86.279118
