time,month_yr,location,cases,disease,lat,lon
1951.416667,May-51,ALABAMA,11,polio,32.361538,-86.279118
1951.5,Jun-51,ALABAMA,44,polio,32.361538,-86.279118
1951.583333,Jul-51,ALABAMA,135,polio,32.361538,-86.279118
1951.666667,Aug-51,ALABAMA,227,polio,32.361538,-86.279118
1951.75,Sep-51,ALABAMA,120,polio,32.361538,-86.279118
1951.833333,Oct-51,ALABAMA,64,polio,32.361538,-86.279118
1951.916667,Nov-51,ALABAMA,34,polio,32.361538,-86.279118
1952,Dec-51,ALABAMA,9,polio,32.361538,-86.279118
1952.083333,Jan-52,ALABAMA,6,polio,32.361538,-86.279118
1952.166667,Feb-52,ALABAMA,4,polio,32.361538,-86.279118
1952.25,Mar-52,ALABAMA,4,polio,32.361538,-86.279118
1952.333333,Apr-52,ALABAMA,1,polio,32.361538,-86.279118
1952.416667,May-52,ALABAMA,2,polio,32.361538,-86.279118
1952.5,Jun-52,ALABAMA,16,polio,32.361538,-86.279118
1952.583333,Jul-52,ALABAMA,66,polio,32.361538,-86.279118
1952.666667,Aug-52,ALABAMA,60,polio,32.361538,-86.279118
1952.75,Sep-52,ALABAMA,71,polio,32.361538,-86.279118
1952.833333,Oct-52,ALABAMA,31,polio,32.361538,-86.279118
1952.916667,Nov-52,ALABAMA,19,polio,32.361538,-86.279118
1953,Dec-52,ALABAMA,15,polio,32.361538,-86.279118
1953.083333,Jan-53,ALABAMA,8,polio,32.361538,-86.279118
1953.166667,Feb-53,ALABAMA,2,polio,32.361538,-86.279118
1953.25,Mar-53,ALABAMA,1,polio,32.361538,-86.279118
1953.333333,Apr-53,ALABAMA,9,polio,32.361538,-86.279118
1953.416667,May-53,ALABAMA,31,polio,32.361538,-86.279118
1953.5,Jun-53,ALABAMA,114,polio,32.361538,-86.279118
1953.583333,Jul-53,ALABAMA,104,polio,32.361538,-86.279118
1953.666667,Aug-53,ALABAMA,83,polio,32.361538,-86.279118
1953.75,Sep-53,ALABAMA,56,polio,32.361538,-86.279118
1953.833333,Oct-53,ALABAMA,34,polio,32.361538,-86.279118
1953.916667,Nov-53,ALABAMA,8,polio,32.361538,-86.279118
1954,Dec-53,ALABAMA,7,polio,32.361538,-86.279118
1954.083333,Jan-54,ALABAMA,9,polio,32.361538,-86.279118
1954.166667,Feb-54,ALABAMA,6,polio,32.361538,-86.279118
1954.25,Mar-54,ALABAMA,4,polio,32.361538,-86.279118
1954.333333,Apr-54,ALABAMA,21,polio,32.361538,-86.279118
1954.416667,May-54,ALABAMA,28,polio,32.361538,-86.279118
1954.5,Jun-54,ALABAMA,37,polio,32.361538,-86.279118
1954.583333,Jul-54,ALABAMA,74,polio,32.361538,-86.279118
1954.666667,Aug-54,ALABAMA,77,polio,32.361538,-86.279118
1954.75,Sep-54,ALABAMA,65,polio,32.361538,-86.279118
1954.833333,Oct-54,ALABAMA,33,polio,32.361538,-86.279118
1954.916667,Nov-54,ALABAMA,17,polio,32.361538,-86.279118
1955,Dec-54,ALABAMA,6,polio,32.361538,-86.279118
1955.083333,Jan-55,ALABAMA,3,polio,32.361538,-86.279118
1955.166667,Feb-55,ALABAMA,4,polio,32.361538,-86.279118
1955.25,Mar-55,ALABAMA,2,polio,32.361538,-86.279118
1955.333333,Apr-55,ALABAMA,2,polio,32.361538,-86.279118
1955.416667,May-55,ALABAMA,11,polio,32.361538,-86.279118
1955.5,Jun-55,ALABAMA,27,polio,32.361538,-86.279118
1955.583333,Jul-55,ALABAMA,31,polio,32.361538,-86.279118
1955.666667,Aug-55,ALABAMA,32,polio,32.361538,-86.279118
1955.75,Sep-55,ALABAMA,24,polio,32.361538,-86.279118
1955.833333,Oct-55,ALABAMA,23,polio,32.361538,-86.279118
1955.916667,Nov-55,ALABAMA,6,polio,32.361538,-86.279118
1956,Dec-55,ALABAMA,4,polio,32.361538,-86.279118
1956.083333,Jan-56,ALABAMA,1,polio,32.361538,-86.279118
1956.166667,Feb-56,ALABAMA,0,polio,32.361538,-86.279118
1956.25,Mar-56,ALABAMA,0,polio,32.361538,-86.279118
1956.333333,Apr-56,ALABAMA,1,polio,32.361538,-86.279118
1956.416667,May-56,ALABAMA,4,polio,32.361538,-86.279118
1956.5,Jun-56,ALABAMA,4,polio,32.361538,-86.279118
1956.583333,Jul-56,ALABAMA,12,polio,32.361538,-86.279118
1956.666667,Aug-56,ALABAMA,25,polio,32.361538,-86.279118
1956.75,Sep-56,ALABAMA,8,polio,32.361538,-86.279118
1956.833333,Oct-56,ALABAMA,24,polio,32.361538,-86.279118
1956.916667,Nov-56,ALABAMA,17,polio,32.361538,-86.279118
1957,Dec-56,ALABAMA,10,polio,32.361538,-86.279118
1957.083333,Jan-57,ALABAMA,4,polio,32.361538,-86.279118
1957.166667,Feb-57,ALABAMA,1,polio,32.361538,-86.279118
1957.25,Mar-57,ALABAMA,2,polio,32.361538,-86.279118
1957.333333,Apr-57,ALABAMA,4,polio,32.361538,-86.279118
1957.416667,May-57,ALABAMA,2,polio,32.361538,-86.279118
1957.5,Jun-57,ALABAMA,3,polio,32.361538,-86.279118
1957.583333,Jul-57,ALABAMA,7,polio,32.361538,-86.279118
1957.666667,Aug-57,ALABAMA,9,polio,32.361538,-86.279118
1957.75,Sep-57,ALABAMA,8,polio,32.361538,-86.279118
1957.833333,Oct-57,ALABAMA,4,polio,32.361538,-86.279118
1957.916667,Nov-57,ALABAMA,8,polio,32.361538,-86.279118
1958,Dec-57,ALABAMA,4,polio,32.361538,-86.279118
1958.083333,Jan-58,ALABAMA,3,polio,32.361538,-86.279118
1958.166667,Feb-58,ALABAMA,3,polio,32.361538,-86.279118
1958.25,Mar-58,ALABAMA,0,polio,32.361538,-86.279118
1958.333333,Apr-58,ALABAMA,2,polio,32.361538,-86.279118
1958.416667,May-58,ALABAMA,0,polio,32.361538,-86.279118
1958.5,Jun-58,ALABAMA,1,polio,32.361538,-86.279118
1958.583333,Jul-58,ALABAMA,2,polio,32.361538,-86.279118
1958.666667,Aug-58,ALABAMA,14,polio,32.361538,-86.279118
1958.75,Sep-58,ALABAMA,8,polio,32.361538,-86.279118
1958.833333,Oct-58,ALABAMA,8,polio,32.361538,-86.279118
1958.916667,Nov-58,ALABAMA,17,polio,32.361538,-86.279118
1959,Dec-58,ALABAMA,8,polio,32.361538,-86.279118
1959.083333,Jan-59,ALABAMA,1,polio,32.361538,-86.279118
1959.166667,Feb-59,ALABAMA,1,polio,32.361538,-86.279118
1959.25,Mar-59,ALABAMA,0,polio,32.361538,-86.279118
1959.333333,Apr-59,ALABAMA,0,polio,32.361538,-86.279118
1959.416667,May-59,ALABAMA,1,polio,32.361538,-86.279118
1959.5,Jun-59,ALABAMA,12,polio,32.361538,-86.279118
1959.583333,Jul-59,ALABAMA,64,polio,32.361538,-86.279118
1959.666667,Aug-59,ALABAMA,22,polio,32.361538,-86.279118
1959.75,Sep-59,ALABAMA,23,polio,32.361538,-86.279118
1959.833333,Oct-59,ALABAMA,16,polio,32.361538,-86.279118
1959.916667,Nov-59,ALABAMA,8,polio,32.361538,-86.279118
1960,Dec-59,ALABAMA,5,polio,32.361538,-86.279118
1960.083333,Jan-60,ALABAMA,0,polio,32.361538,-86.279118
1960.166667,Feb-60,ALABAMA,0,polio,32.361538,-86.279118
1960.25,Mar-60,ALABAMA,1,polio,32.361538,-86.279118
